x,y,name
615357.7497404777,9763155.536489662,Borde
615357.7497404777,9762996.70609582,Borde
615527.3583145756,9762996.70609582,Borde
615527.3583145756,9763155.536489662,Borde
615357.7747343731,9763122.065621335,Borde
615380.8191059201,9763122.015627505,Borde
615380.8191059201,9763105.217701057,Borde
615377.6198873105,9763105.06771957,Borde
615377.6198873105,9763095.218935313,Borde
615357.7747343731,9763095.168941483,Borde
615377.6198873105,9763095.168941483,Borde
615377.6198873105,9763105.06771957,Borde
615380.8191059201,9763105.167707227,Borde
615380.8191059201,9763122.015627505,Borde
615527.3333206803,9763061.923045386,Borde
615479.6949560721,9763068.122280147,Borde
615479.6449682814,9763123.915392997,Borde
615454.3011583587,9763123.965386827,Borde
615454.1511949864,9763114.966497656,Borde
615425.9080931988,9763114.866509998,Borde
615425.9080931988,9763094.019083424,Borde
615416.6603519055,9763093.869101936,Borde
615416.6103641147,9763084.32028065,Borde
615385.6179338346,9763079.170916293,Borde
615385.4679704622,9763059.623329263,Borde
615357.7747343731,9763059.623329263,Borde
615385.5179582529,9763059.623329263,Borde
615385.6179338346,9763079.170916293,Borde
615416.6603519055,9763084.32028065,Borde
615416.6603519055,9763093.869101936,Borde
615425.9080931988,9763093.969089594,Borde
615425.9080931988,9763114.866509998,Borde
615454.2011827772,9763114.966497656,Borde
615454.3011583587,9763123.965386827,Borde
615479.6449682814,9763123.915392997,Borde
615479.6949560721,9763068.122280147,Borde
